site_no,site_name,timestamp_utc,flow_cfs,pct_change_1h,pct_change_3h,pct_change_6h
2037500,"JAMES RIVER NEAR RICHMOND, VA",2025-11-17 16:00:00+00:00,1250.0,1.6260162601626018,1.6260162601626018,5.042016806722689
2019500,"JAMES RIVER AT BUCHANAN, VA",2025-11-17 16:00:00+00:00,435.0,0.0,1.3986013986013985,1.3986013986013985
1656903,"FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY, VA",2025-11-17 16:00:00+00:00,1.34,0.0,0.0,0.0
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-17 16:00:00+00:00,1.27,8.547008547008556,0.0,0.0
2011460,"BACK CREEK NEAR SUNRISE, VA",2025-11-17 16:00:00+00:00,7.96,0.0,8.005427408412482,8.005427408412482
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-17 16:00:00+00:00,19.5,0.0,-2.9850746268656785,-8.0188679245283
2016500,"JAMES RIVER AT LICK RUN, VA",2025-11-17 16:00:00+00:00,357.0,1.13314447592068,1.13314447592068,-3.7735849056603774
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-17 16:00:00+00:00,5.62,-5.067567567567564,-5.067567567567564,-5.067567567567564
1646305,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",2025-11-17 16:00:00+00:00,1.16,0.0,0.0,0.0
1616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 16:15:00+00:00,2.53,0.0,0.0,-6.296296296296309
2018000,"CRAIG CREEK AT PARR, VA",2025-11-17 16:15:00+00:00,54.6,-2.150537634408595,-4.378283712784588,-4.378283712784588
1664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA",2025-11-17 16:15:00+00:00,94.8,0.0,2.9315960912052152,2.9315960912052152
1670200,"PAMUNKEY CREEK AT RT 651 NEAR LAHORE, VA",2025-11-17 16:15:00+00:00,1.73,0.0,0.0,13.815789473684209
1670400,"NORTH ANNA RIVER NEAR PARTLOW, VA",2025-11-17 16:15:00+00:00,67.8,52.702702702702695,56.581986143187066,32.163742690058484
1631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",2025-11-17 16:15:00+00:00,396.0,0.0,0.0,0.0
167357970,"MONCUIN CREEK BELOW US HWY 360 NEAR MANQUIN, VA",2025-11-17 16:15:00+00:00,16.1,-1.8292682926829098,0.0,-3.012048192771084
2029000,"JAMES RIVER AT SCOTTSVILLE, VA",2025-11-17 16:15:00+00:00,1230.0,5.128205128205128,45.218417945690675,21.782178217821784
16701405,"N ANNA RIVER AT RT 669 NR MONROVIA, VA",2025-11-17 16:15:00+00:00,10.6,0.0,0.0,-5.357142857142854
1643805,"N F GOOSE CREEK AT RT 729 NEAR LINCOLN, VA",2025-11-17 16:15:00+00:00,3.32,-5.681818181818187,-10.991957104557645,-10.991957104557645
2030500,"SLATE RIVER NEAR ARVONIA, VA",2025-11-17 16:15:00+00:00,44.1,0.0,-1.999999999999997,-3.921568627450974
1638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",2025-11-17 16:15:00+00:00,6.05,-5.76323987538941,0.0,12.8731343283582
1625000,"MIDDLE RIVER NEAR GROTTOES, VA",2025-11-17 16:15:00+00:00,82.2,0.0,-3.8596491228070144,-7.432432432432426
1646000,"DIFFICULT RUN NEAR GREAT FALLS, VA",2025-11-17 16:15:00+00:00,11.6,3.5714285714285747,6.422018348623847,6.422018348623847
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-17 16:15:00+00:00,-999999.0,-0.0,-0.0,-0.0
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-17 16:15:00+00:00,12.2,0.0,0.0,-4.687500000000011
1663500,"HAZEL RIVER AT RIXEYVILLE, VA",2025-11-17 16:15:00+00:00,48.0,-1.8404907975460092,-3.6144578313252955,0.0
1658500,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",2025-11-17 16:15:00+00:00,0.64,0.0,0.0,-14.666666666666664
1626000,"SOUTH RIVER NEAR WAYNESBORO, VA",2025-11-17 16:15:00+00:00,36.4,11.999999999999995,11.999999999999995,3.7037037037036953
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-17 16:20:00+00:00,1.47,-7.547169811320761,-7.547169811320761,-7.547169811320761
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-17 16:25:00+00:00,1.05,10.526315789473696,10.526315789473696,10.526315789473696
1674182,"POLECAT CREEK AT ROUTE 301 NEAR PENOLA, VA",2025-11-17 16:30:00+00:00,2.42,18.048780487804887,34.444444444444436,-32.212885154061624
2016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",2025-11-17 16:30:00+00:00,75.1,0.0,0.0,-4.574332909784
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-17 16:30:00+00:00,124.0,0.0,-5.343511450381679,-3.125
2014000,"POTTS CREEK NEAR COVINGTON, VA",2025-11-17 16:30:00+00:00,26.8,-3.9426523297490967,-3.9426523297490967,-7.5862068965517215
2011400,"JACKSON RIVER NEAR BACOVA, VA",2025-11-17 16:30:00+00:00,20.6,-2.830188679245273,-5.5045871559633,-2.830188679245273
2013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA",2025-11-17 16:30:00+00:00,188.0,-2.5906735751295336,-2.5906735751295336,-2.5906735751295336
2037000,"JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND, VA",2025-11-17 16:30:00+00:00,145.0,0.0,0.0,0.0
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-17 16:30:00+00:00,2.72,-16.3076923076923,-11.400651465798035,-5.8823529411764675
2013000,"DUNLAP CREEK NEAR COVINGTON, VA",2025-11-17 16:30:00+00:00,25.4,0.0,-3.4220532319391714,-9.9290780141844
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",2025-11-17 16:30:00+00:00,2.81,10.196078431372559,0.0,10.196078431372559
2011800,"JACKSON RIVER BL GATHRIGHT DAM NR HOT SPGS, VA",2025-11-17 16:30:00+00:00,161.0,0.0,0.0,0.0
2011500,"BACK CREEK NEAR MOUNTAIN GROVE, VA",2025-11-17 16:30:00+00:00,24.8,0.0,-4.980842911877397,-13.88888888888889
2011470,"BACK CREEK AT SUNRISE, VA",2025-11-17 16:30:00+00:00,9.79,0.0,10.746606334841621,27.640156453715765
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-17 16:30:00+00:00,6.78,36.69354838709678,29.63671128107074,5.116279069767442
1660400,"AQUIA CREEK NEAR GARRISONVILLE, VA",2025-11-17 16:30:00+00:00,2.15,8.585858585858583,18.131868131868124,18.131868131868124
1654107,"LONG BRANCH AT OLLEY LANE NR FAIRFAX, VA",2025-11-17 16:35:00+00:00,-999999.0,-0.0,-0.0,-0.0
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-17 16:40:00+00:00,3.35,0.0,-6.944444444444445,-6.944444444444445
2024000,"MAURY RIVER NEAR BUENA VISTA, VA",2025-11-17 16:40:00+00:00,100.0,0.0,0.0,0.0
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-17 16:40:00+00:00,19.7,0.0,2.072538860103619,2.072538860103619
164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",2025-11-17 16:40:00+00:00,0.07,0.0,0.0,-12.499999999999993
2032640,"N F RIVANNA RIVER NEAR EARLYSVILLE, VA",2025-11-17 16:45:00+00:00,19.4,12.138728323699409,0.0,0.0
2015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",2025-11-17 16:45:00+00:00,32.3,-3.8690476190476315,-3.8690476190476315,0.0
1656000,"CEDAR RUN NEAR CATLETT, VA",2025-11-17 16:45:00+00:00,5.27,-6.560283687943265,0.0,0.0
2027000,"TYE RIVER NEAR LOVINGSTON, VA",2025-11-17 16:45:00+00:00,31.2,28.395061728395056,24.799999999999997,11.428571428571425
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-17 16:45:00+00:00,17.7,0.0,4.117647058823525,0.0
2028500,"ROCKFISH RIVER NEAR GREENFIELD, VA",2025-11-17 16:45:00+00:00,27.4,3.396226415094334,3.396226415094334,0.0
1662800,"BATTLE RUN NEAR LAUREL MILLS, VA",2025-11-17 16:45:00+00:00,24.5,10.859728506787324,17.224880382775126,31.01604278074867
2027500,"PINEY RIVER AT PINEY RIVER, VA",2025-11-17 16:45:00+00:00,24.2,4.310344827586207,0.0,-4.347826086956527
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-17 16:45:00+00:00,9.02,0.0,0.0,-5.2521008403361344
2026000,"JAMES RIVER AT BENT CREEK, VA",2025-11-17 16:45:00+00:00,1160.0,3.571428571428571,67.8726483357453,28.176795580110497
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-17 16:45:00+00:00,296.0,-8.641975308641975,-10.030395136778116,-7.5
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-17 16:45:00+00:00,75.5,0.0,0.0,3.2831737346101315
1666500,"ROBINSON RIVER NEAR LOCUST DALE, VA",2025-11-17 16:45:00+00:00,51.1,-5.194805194805189,-5.194805194805189,-2.666666666666664
1673800,"PO RIVER NEAR SPOTSYLVANIA, VA",2025-11-17 16:45:00+00:00,8.49,0.0,-5.771365149833514,-5.771365149833514
1665500,"RAPIDAN RIVER NEAR RUCKERSVILLE, VA",2025-11-17 16:45:00+00:00,25.7,-4.104477611940303,-11.379310344827589,-7.885304659498206
1674000,"MATTAPONI RIVER NEAR BOWLING GREEN, VA",2025-11-17 16:45:00+00:00,15.0,0.0,0.0,0.0
2017500,"JOHNS CREEK AT NEW CASTLE, VA",2025-11-17 16:45:00+00:00,17.1,-2.2857142857142776,-2.2857142857142776,2.3952095808383365
2020500,"CALFPASTURE RIVER ABOVE MILL CREEK AT GOSHEN, VA",2025-11-17 16:45:00+00:00,8.01,0.0,-5.985915492957744,-11.491712707182328
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-17 16:45:00+00:00,114.0,-8.064516129032258,-8.064516129032258,-5.785123966942149
1672500,"SOUTH ANNA RIVER NEAR ASHLAND, VA",2025-11-17 16:45:00+00:00,39.9,-6.338028169014091,-2.205882352941173,0.0
1669000,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",2025-11-17 16:45:00+00:00,20.2,0.0,-4.716981132075472,-5.607476635514016
2011490,"LITTLE BACK CREEK NEAR SUNRISE, VA",2025-11-17 16:45:00+00:00,3.94,0.0,0.0,8.539944903581269
2031000,"MECHUMS RIVER NEAR WHITE HALL, VA",2025-11-17 16:45:00+00:00,26.2,0.0,-6.428571428571431,-12.666666666666668
1671100,"LITTLE RIVER NEAR DOSWELL, VA",2025-11-17 16:45:00+00:00,9.21,17.175572519083975,8.09859154929579,0.0
2036500,"FINE CREEK AT FINE CREEK MILLS, VA",2025-11-17 16:45:00+00:00,4.09,38.64406779661015,38.64406779661015,8.201058201058203
2024915,"PEDLAR RIVER AT FOREST ROAD NEAR BUENA VISTA, VA",2025-11-17 16:45:00+00:00,9.34,0.0,-2.7083333333333313,-12.71028037383177
1671020,"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA",2025-11-17 16:45:00+00:00,46.2,11.325301204819285,7.943925233644873,1.5384615384615448
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-17 16:45:00+00:00,8.79,0.0,3.9007092198581352,-3.8293216630197087
1653000,"CAMERON RUN AT ALEXANDRIA, VA",2025-11-17 16:45:00+00:00,3.91,0.0,-29.03811252268602,-29.03811252268602
1673000,"PAMUNKEY RIVER NEAR HANOVER, VA",2025-11-17 16:45:00+00:00,129.0,0.78125,-0.7692307692307693,-3.731343283582089
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-17 16:45:00+00:00,2.27,-6.198347107438013,-21.72413793103448,-21.72413793103448
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-17 16:45:00+00:00,248.0,-1.5873015873015872,0.0,-1.5873015873015872
2030000,"HARDWARE RIVER BL BRIERY RUN NR SCOTTSVILLE, VA",2025-11-17 16:45:00+00:00,36.7,-2.1333333333333258,-2.1333333333333258,-2.1333333333333258
1673550,"TOTOPOTOMOY CREEK NEAR STUDLEY, VA",2025-11-17 16:45:00+00:00,10.6,5.9999999999999964,12.28813559322034,2.9126213592232904
1652090,"FOUR MILE RUN AT HWY 29 AT FALLS CHURCH, VA",2025-11-17 16:45:00+00:00,1.33,0.0,-15.286624203821656,-15.286624203821656
2025500,"JAMES RIVER AT HOLCOMB ROCK, VA",2025-11-17 16:45:00+00:00,648.0,-1.669195751138088,-1.669195751138088,-7.954545454545454
1669520,"DRAGON SWAMP AT MASCOT, VA",2025-11-17 16:45:00+00:00,35.3,0.0,-2.2160664819944715,-4.336043360433608
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-17 16:45:00+00:00,5.17,0.0,6.160164271047224,0.0
2022500,"KERRS CREEK NEAR LEXINGTON, VA",2025-11-17 16:45:00+00:00,6.64,0.0,0.0,-18.82640586797066
1674500,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",2025-11-17 16:45:00+00:00,97.2,0.0,-3.7623762376237595,-9.999999999999998
2034000,"RIVANNA RIVER AT PALMYRA, VA",2025-11-17 16:50:00+00:00,105.0,0.0,5.527638190954774,11.702127659574469
1652500,"FOURMILE RUN AT ALEXANDRIA, VA",2025-11-17 16:50:00+00:00,5.58,0.0,0.0,0.0
